NER: TXU Power	Frequency: 63
NER: TXU Generation Company LP	Frequency: 2
NER: Oak Grove Management Company LLC	Frequency: 2
NER: TXU Corporation	Frequency: 1
NER: DEC	Frequency: 1
NER: A355	Frequency: 1
NER: Clean Air Act	Frequency: 4
NER: the "Act	Frequency: 1
NER: VENUE 2	Frequency: 1
NER: the Act	Frequency: 4
NER: the Oak Grove Steam Electric Station	Frequency: 1
NER: .C.	Frequency: 2
NER: Plaintiffs	Frequency: 5
NER: EPA	Frequency: 27
NER: the Texas Commission on Environmental Quality	Frequency: 1
NER: TCEQ	Frequency: 5
NER: the Permit Application	Frequency: 8
NER: the Oak Grove Plant	Frequency: 157
NER: the Clean Air Act	Frequency: 19
NER: Complaint	Frequency: 4
NER: Plaintiff CleanCOALition	Frequency: 1
NER: Our Land Our Lives	Frequency: 3
NER: Texans	Frequency: 1
NER: Bremond, Wheelock	Frequency: 1
NER: Marquez	Frequency: 1
NER: Calvert	Frequency: 1
NER: the Immediate Impact Area	Frequency: 14
NER: the Dallas/Fort Worth	Frequency: 1
NER: the "Transport Impact Area	Frequency: 1
NER: the Transport Impact Area	Frequency: 13
NER: CleanCOALition	Frequency: 1
NER: the D/FW	Frequency: 4
NER: TXU Generation Company	Frequency: 1
NER: OGMC	Frequency: 69
NER: CT Corporation System	Frequency: 3
NER: North St. Paul Street	Frequency: 3
NER: Oak Grove Management Company, LLC	Frequency: 2
NER: the "Air Application Revision	Frequency: 1
NER: TXU	Frequency: 37
NER: 45Power	Frequency: 1
NER: the "Permit Application"	Frequency: 1
NER: Defendant TXU Corporation	Frequency: 1
NER: Act	Frequency: 7
NER: National Ambient Air Quality Standards	Frequency: 1
NER: NAAQS	Frequency: 13
NER: 7410	Frequency: 2
NER: a State Implementation Plan	Frequency: 1
NER: the Prevention of Significant Deterioration of air quality	Frequency: 1
NER: PSD	Frequency: 10
NER: the Texas Administrative Code	Frequency: 1
NER: FED	Frequency: 2
NER: PSD Program	Frequency: 2
NER: the Best Available Control Technology	Frequency: 1
NER: the Act (b	Frequency: 1
NER: the PSD Program	Frequency: 2
NER: OCMG	Frequency: 1
NER: 2 See	Frequency: 1
NER: Title V	Frequency: 1
NER: Texas Title V Operating Permit Program	Frequency: 1
NER: the Texas Title V Operating Permit Program and Section	Frequency: 1
NER: the Texas Title V Operating Permit Program and Section 504(a	Frequency: 1
NER: Waco Division	Frequency: 1
NER: GROVE	Frequency: 1
NER: Best Available Control Technology Violations	Frequency: 1
NER: Texas Health and Safety Code	Frequency: 36
NER: TEX.	Frequency: 1
NER: The Oak Grove Plant	Frequency: 1
NER: TXU Power's	Frequency: 4
NER: Texas Health and Safety Code Section 382.0518(b)(1	Frequency: 1
NER: Integrated Gasification Combined Cycle	Frequency: 1
NER: IGCC	Frequency: 6
NER: BACTs	Frequency: 1
NER: British Thermal Units	Frequency: 1
NER: the Unit 1	Frequency: 1
NER: Unstored Boiler Components	Frequency: 2
NER: SCR	Frequency: 2
NER: Permit Application	Frequency: 2
NER: HCI	Frequency: 1
NER: Oak Grove Plant	Frequency: 1
NER: TEX	Frequency: 2
NER: Air Permit Applications	Frequency: 1
NER: Texas Commission	Frequency: 1
NER: Last Used Control Technology	Frequency: 2
NER: The New Source Review Workshop Manual	Frequency: 1
NER: The Permit Application	Frequency: 1
NER: Alcoa Rockdale Permit	Frequency: 1
NER: Alcoa Rockdale	Frequency: 1
NER: the Alcoa Rockdale Permit	Frequency: 1
NER: U.S. District Court	Frequency: 1
NER: Austin Division	Frequency: 1
NER: EPA New Source Review Workshop Manual	Frequency: 1
NER: No Tier II or Tier III	Frequency: 1
NER: HC1	Frequency: 1
NER: Mercury	Frequency: 1
NER: Clean Air Mercury Rule	Frequency: 1
NER: Texas Health & Safety Code	Frequency: 1
NER: HHHH	Frequency: 1
NER: 45OGMC	Frequency: 1
NER: § 60.4110	Frequency: 1
NER: the Central Texas Compact	Frequency: 1
NER: PM1 0	Frequency: 1
NER: Early Action Compact Areas with Deferred Effective Dates	Frequency: 1
NER: 2004))9	Frequency: 1
NER: Fed	Frequency: 5
NER: Section 382.0515	Frequency: 15
NER: chapter 382	Frequency: 7
NER: the Texas Health and Safety Code	Frequency: 13
NER: the Newer Boiler Components	Frequency: 1
NER: the Unstored Boiler Components	Frequency: 1
NER: Chapter 382	Frequency: 6
NER: 116.111(a)(2)(D	Frequency: 2
NER: 116.111(a)(2)(I	Frequency: 2
NER: NSPS	Frequency: 1
NER: Texas SIP Violations	Frequency: 1
NER: TEx.	Frequency: 1
NER: NSR	Frequency: 1
NER: Section II(G	Frequency: 1
NER: Defendants	Frequency: 4
NER: the Permit Application, Plaintiffs	Frequency: 1
NER: C. Order Defendants	Frequency: 1
NER: D. Order Defendants	Frequency: 1
NER: E. Declare	Frequency: 1
NER: F. Assess	Frequency: 1
NER: G. Award Plaintiffs	Frequency: 1
NER: H. Grant Plaintiffs	Frequency: 1
NER: Frederick W. Addison	Frequency: 2
NER: LOCKE LIDDELL & SAPP LLP	Frequency: 1
NER: Suite 2200	Frequency: 2
NER: Stephen L. Johnson	Frequency: 2
NER: Administrator U.S. Environmental Protection Agency	Frequency: 1
NER: Ariel Rios Building	Frequency: 1
NER: Pennsylvania Avenue	Frequency: 1
NER: 20460 Richard Greene	Frequency: 1
NER: Region 6 Administrator Environmental Protection Agency	Frequency: 1
NER: Fountain Place 12th Floor, Suite	Frequency: 1
NER: Executive	Frequency: 1
NER: Texas Commission on Environmental Quality P.O. Box	Frequency: 1
NER: WOE	Frequency: 1
NER: the Judicial Conference of the United States	Frequency: 1
NER: Texas 75201 Telephone	Frequency: 1
NER: TXU Corporation County of	Frequency: 1
NER: Residence of First Listed Defendant Dallas	Frequency: 1
NER: BASIS OF JURISDICTION	Frequency: 1
NER: CITIZENSHIP	Frequency: 1
NER: U.S. Government Not a Party	Frequency: 1
NER: State	Frequency: 33
NER: Principal Place of Business In This	Frequency: 1
NER: Principal Place of Business In	Frequency: 1
NER: Marine	Frequency: 1
NER: Recovery of Overpayment & Enforcement of Judgment	Frequency: 1
NER: Recovery of Overpayment of Veteran's	Frequency: 1
NER: Airplane Cl 362	Frequency: 1
NER: Airplane Product Med.	Frequency: 1
NER: Motor Vehicle Property Damage Product Liability	Frequency: 1
NER: Food & Drug	Frequency: 1
NER: USC	Frequency: 5
NER: R.R. & Truck	Frequency: 1
NER: Airline Regs	Frequency: 1
NER: Occupational Safety/Health	Frequency: 1
NER: State Reapportionment	Frequency: 1
NER: Antitrust Cl 430 Banks and Banking	Frequency: 1
NER: Commerce	Frequency: 1
NER: Racketeer Influenced and Corrupt Organizations Cl 480 Consumer Credit 0 490 Cable/Sat TV	Frequency: 1
NER: Selective Service	Frequency: 1
NER: Securities/Conunodities/ Exchange	Frequency: 1
NER: Customer Challenge	Frequency: 1
NER: Environmental Matters	Frequency: 1
NER: Freedom of Information	Frequency: 1
NER: Constitutionality of State	Frequency: 1
NER: Ret. Inc.	Frequency: 1
NER: HIA	Frequency: 1
NER: Black Lung	Frequency: 1
NER: SSID	Frequency: 1
NER: Rent Lease & Ejectment	Frequency: 1
NER: Housing/ Accommodations 0 444	Frequency: 1
NER: Mandamus & Other 0 550 Civil Rights	Frequency: 1
NER: IRS	Frequency: 1
NER: Third Party	Frequency: 1
NER: State Court	Frequency: 1
NER: Multidistrict Appellate Court	Frequency: 1
NER: IFP	Frequency: 1
NER: MAG	Frequency: 1
NER: Auri - ba-P6-0	Frequency: 1
NER: 9nan 1	Frequency: 1
NER: DATEI	Frequency: 1
NER: R Veise	Frequency: 1
NER: Fitq	Frequency: 1
NER: Julie Teel	Frequency: 2
NER: P.O. Box	Frequency: 1
NER: CA 92167	Frequency: 1
NER: John Buse	Frequency: 2
NER: 5656 S. Dorchester Ave	Frequency: 1
NER: Chicago-IL 60637 Telephone	Frequency: 1
NER: TY FE L	Frequency: 1
NER: CITY COUNCIL OF	Frequency: 1
NER: BENCH	Frequency: 4
NER: LLC	Frequency: 4
NER: California Envitonmental Quality	Frequency: 1
NER: Petitioner Center for Biological Diversity	Frequency: 1
NER: Respondents City of Banning	Frequency: 1
NER: the city Council of the City of Banning	Frequency: 1
NER: Black Bench	Frequency: 2
NER: Project	Frequency: 128
NER: Banning	Frequency: 2
NER: Court	Frequency: 27
NER: the California Environmental Quality Act	Frequency: 2
NER: The Center	Frequency: 3
NER: Code of Civil Procedure sections	Frequency: 1
NER: the California Code of Civil Procedure	Frequency: 1
NER: the Public Resources Code	Frequency: 1
NER: Respondent City of Banning	Frequency: 1
NER: Joshua Tree	Frequency: 1
NER: the Center's Climate, Air	Frequency: 1
NER: Energy Program	Frequency: 1
NER: BANNING	Frequency: 2
NER: CEQA	Frequency: 23
NER: Real Party in Interest SCC/BLACK	Frequency: 1
NER: Applicant	Frequency: 1
NER: Real Parties in Interest	Frequency: 1
NER: the San Bernardino National Forest	Frequency: 3
NER: San Bernardino National Forest	Frequency: 3
NER: Chaparral	Frequency: 1
NER: the Circulation Element of the City's	Frequency: 1
NER: General Plan	Frequency: 1
NER: Tentative Tract Petition for Writ of Mandate	Frequency: 1
NER: I7	Frequency: 1
NER: M011	Frequency: 1
NER: Mandate 4	Frequency: 1
NER: the City Planning Commission	Frequency: 2
NER: the City Council	Frequency: 9
NER: the General Plan Amendment	Frequency: 1
NER: MOU	Frequency: 2
NER: Mitigation Monitoring and Reporting Program	Frequency: 1
NER: Public Resources Code	Frequency: 1
NER: section 21167.5	Frequency: 1
NER: Public Resources	Frequency: 1
NER: section 21167	Frequency: 1
NER: section 15112	Frequency: 1
NER: FIR	Frequency: 16
NER: 2U	Frequency: 1
NER: Air Quality	Frequency: 1
NER: Z4	Frequency: 2
NER: AQMP	Frequency: 1
NER: PMio	Frequency: 1
NER: PM2i	Frequency: 1
NER: South Coast Air Quality Management District's	Frequency: 1
NER: Bell	Frequency: 1
NER: Sage Sparrow	Frequency: 1
NER: Jackrabbit	Frequency: 1
NER: General Plan FIR	Frequency: 1
NER: the General Plan E[R	Frequency: 1
NER: FAR	Frequency: 1
NER: 1AR	Frequency: 1
NER: CF.QA	Frequency: 1
NER: CLQA	Frequency: 2
NER: the South Coast Air Quality Management District's	Frequency: 2
NER: BR	Frequency: 1
NER: dc.troyed	Frequency: 1
NER: SC 7-5	Frequency: 1
NER: the California Department of Fish and Game	Frequency: 1
NER: U.S. Fish and Wildlife Service	Frequency: 1
