country,link,ESG-term,country_mapped,latitude,longitude
australia,http://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-global-green-plan-ltd/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
denmark,http://climatecasechart.com/non-us-case/vegetarian-society-et-al-of-denmark-v-danish-crown/,GHG_Emissions,Denmark,55.670249,10.3333283
france,http://climatecasechart.com/non-us-case/decrochons-macron/,Physical_Impacts_Of_Climate_Change,France,46.603354,1.8883335
australia,http://climatecasechart.com/non-us-case/specific-instance-filed-to-the-australian-national-contact-point-under-the-oecd-guidelines-for-multinational-enterprises-by-foe-australia-and-others-v-anz-bank-group-limited/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
philippines,http://climatecasechart.com/non-us-case/in-re-greenpeace-southeast-asia-et-al/,Human_Rights_And_Community_Relations,Philippines,12.7503486,122.7312101
australia,http://climatecasechart.com/non-us-case/in-the-matter-of-agl-limited/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
australia,http://climatecasechart.com/non-us-case/australian-competition-and-consumer-commission-v-de-longhi-australia-pty-ltd/,Physical_Impacts_Of_Climate_Change,Australia,-24.7761086,134.755
australia,http://climatecasechart.com/non-us-case/the-friends-of-nature-institute-v-gansu-state-grid/,Energy_Management,Australia,-24.7761086,134.755
indonesia,http://climatecasechart.com/non-us-case/ministry-of-environment-and-forestry-v-pt-merbau-pelelawan-lestari/,Ecological_Impacts,Indonesia,-2.4833826,117.8902853
brazil,http://climatecasechart.com/non-us-case/conectas-direitos-humanos-v-bndes-and-bndespar/,GHG_Emissions,Brazil,-10.3333333,-53.2
germany,http://climatecasechart.com/non-us-case/regional-court-of-frankfurt-am-mains-decision-on-companys-climate-neutral-claims-regarding-frozen-croquettes/,GHG_Emissions,Germany,51.1638175,10.4478313
belgium,http://climatecasechart.com/non-us-case/carbon-market-watch-v-fifa/,Management_Of_Legal_And_Regulatory_Framework,Belgium,50.6402809,4.6667145
